COD;DESCC;SIGLAS;DIRECC;DPA;ORGA;NAE;FORG;FFI;UNI;SUB;SUBORD;TIPO;EP
05783;EMPRESA MUNICIPAL DE GASTRONOMIA CIEGO DE AVILA;-  -  -  -  -  -  -  -;PROLONGACION MARTI E/ RUPERTO CASTANEDA Y ROBERTO RODRIGUEZ S/N;2908;318;5610;02;1;667;14285;2;EMP;0
05787;EMPRESA DE ASEGURAMIENTO A LA EDUCACION HOLGUIN;-  -  -  -  -  -  -  -;CALLE MIRO NO. 103 E/ ARIAS Y AGUILERA;3206;321;5190;02;1;999;00510;1;EMP;0
05801;EMPRESA MAYORISTA DE PRODUCTOS ALIMENTICIOS Y OTROS BIENES DE CONSUMO DE MATANZAS;-  -  -  -  -  -  -  -;AMERICA NO. 12 E/ RIO Y CUBA;2501;171;5190;02;1;902;000013309;0;EMP;0
05807;EMPRESA MUNICIPAL DE COMERCIO MIXTO Y GASTRONOMIA DE BOLIVIA;-  -  -  -  -  -  -  -;OLO PANTOJA NO. 52;2903;318;5335;02;1;667;14285;2;EMP;0
05808;EMPRESA MUNICIPAL DE COMERCIO MINORISTA MIXTA DE 1RO. DE ENERO;-  -  -  -  -  -  -  -;CARRETERA PRIMERO DE ENERO NO. 111;2904;318;5335;02;1;667;14285;2;EMP;0
05809;EMPRESA MUNICIPAL DE COMERCIO MIXTO Y GASTRONOMIA DE CIRO REDONDO;-  -  -  -  -  -  -  -;EDUARDO AGRAMONTE NO.10 E/ PEDRO MARTINEZ BRITO Y CANDIDO GLEZ;2905;318;5335;02;1;667;14285;2;EMP;0
05810;EMPRESA MUNICIPAL DE COMERCIO MINORISTA MIXTA DE FLORENCIA;-  -  -  -  -  -  -  -;CALLE AGRAMONTE NO.14 E/ MARTI Y MENDEZ PENATE;2906;318;5335;02;1;667;14285;2;EMP;0
05811;EMPRESA MUNICIPAL DE COMERCIO MINORISTA MIXTA DE MAJAGUA;-  -  -  -  -  -  -  -;JUSTO SANCHEZ NO. 69 E/ RICARDO PEREZ Y LIBERTAD;2907;318;5335;02;1;667;14285;2;EMP;0
05812;EMPRESA MUNICIPAL DE COMERCIO MINORISTA MIXTA DE VENEZUELA;-  -  -  -  -  -  -  -;CALLE LINEA NO. 76 E/ E Y F;2909;318;5335;02;1;667;14285;2;EMP;0
05813;EMPRESA MUNICIPAL DE COMERCIO MINORISTA MIXTA DE BARAGUA;-  -  -  -  -  -  -  -;"CARRETERA A "" EL CENTRO "" NO. 119";2910;318;5335;02;1;667;14285;2;EMP;0
05818;EMPRESA MUNICIPAL DE COMERCIO  Y GASTRONOMIA DE SAN JUAN Y MARTINEZ;-  -  -  -  -  -  -  -;RIGOBERTO FUENTES NO. 5 E/ HERMANO SAIZ Y PEDRO RODRIGUEZ;2110;311;5610;02;1;736;000013526;1;EMP;0
05825;EMPRESA MUNICIPAL DE COMERCIO Y GASTRONOMIA DE SANDINO;-  -  -  -  -  -  -  -;ZONA N EDIFICIO ORGANISMOS;2101;311;5610;02;1;736;000013526;1;EMP;0
05826;EMPRESA MUNICIPAL DE COMERCIO Y GASTRONOMIA DE LOS PALACIOS;-  -  -  -  -  -  -  -;CALLE 28 NO. 1909 E/ 19 Y 21;2106;311;5610;02;1;736;000013526;1;EMP;1
05856;EMPRESA PROVINCIAL DE RECREACION Y TURISMO DE LA HABANA;-  -  -  -  -  -  -  -;SANTA CATALINA NO. 564 ESQ. A MAYIA RODRIGUEZ;2309;313;5610;02;1;999;;1;EMP;0
05862;EMPRESA MAYORISTA DE PRODUCTOS ALIMENTICIOS Y OTROS BIENES DE CONSUMO DE LAS TUNAS;-  -  -  -  -  -  -  -;CARRETERA CENTRAL KM 2 1/2 NO. 192, OESTE;3105;171;5190;02;1;902;000013309;0;EMP;0
05865;EMPRESA MAYORISTA DE PRODUCTOS ALIMENTICIOS Y OTROS BIENES DE CONSUMO DE GRANMA;-  -  -  -  -  -  -  -;CAPOTICO NO. 108 E/ SACO Y FIGUEREDO, REPARTO EL CRISTO. BAYAZO;3304;171;5190;02;1;902;000013309;0;EMP;0
05872;EMPRESA PROVINCIAL DE ASEGURAMIENTO A ENTIDADES LOCALES;-  -  -  -  -  -  -  -;CALLE 133 NO. 17205 ENTRE 172 Y 174, REPARTO IGLESIAS;2501;314;5190;02;1;666;14281;1;EMP;0
05873;EMPRESA MUNICIPAL DE GASTRONOMIA DE PINAR DEL RIO;-  -  -  -  -  -  -  -;MAXIMO GOMEZ NO. 58 E/ COLON E ISABEL RUBIO;2108;311;5610;02;1;736;13526;1;EMP;1
05874;EMPRESA MUNICIPAL DE COMERCIO Y GASTRONOMIA DE GUANE;-  -  -  -  -  -  -  -;CALLE ISABEL RUBIO NO. 119 E/ CORONEL BARRIO Y IGNACIO RODRIGUEZ;2111;311;5610;02;1;736;13526;1;EMP;0
05909;EMPRESA DE TRANSPORTE Y EQUIPOS PESADOS;-  -  -  -  -  -  -  -;CALLE PACO NO. 67, E/ 2DA. Y 3RA.;2314;104;6023;02;1;620;02704;0;EMP;1
05912;EMPRESA DE SUMINISTROS MEDICOS;EMSUME;NEPTUNO NO. 524 ESQ. LEALTAD;2303;241;5132;02;1;655;14204;0;EMP;0
05914;EMPRESA COMERCIALIZADORA Y DE SERVICIOS DE PRODUCTOS UNIVERSALES VILLA CLARA;-  -  -  -  -  -  -  -;CARRETERA CENTRAL NO. 105 ESQ. SAN PEDRO;2609;171;5190;02;1;903;13515;0;EMP;1
05915;EMPRESA COMERCIALIZADORA Y DE SERVICIOS DE PRODUCTOS UNIVERSALES CAMAGUEY;-  -  -  -  -  -  -  -;GENERAL GOMEZ NO. 254 E/ SAN ROMAN Y MASVIDAL;3008;171;5190;02;1;903;13515;0;EMP;1
05916;EMPRESA COMERCIALIZADORA Y DE SERVICIOS DE PRODUCTOS UNIVERSALES SANTIAGO DE CUBA;-  -  -  -  -  -  -  -;CARRETERA CENTRAL S/N ESQ. CALLE 7;3406;171;5190;02;1;903;13515;0;EMP;3
05918;EMPRESA EXPORTADORA E IMPORTADORA DE LA CONSTRUCCION, IMECO;-  -  -  -  -  -  -  -;CALLE 25 NO. 2602 E/ 26 Y 30;2301;126;5143;37;1;828;000011994;0;EMP;1
05919;EMPRESA MUNICIPAL DE COMERCIO MINORISTA MIXTA DE CHAMBAS;-  -  -  -  -  -  -  -;MARTI NO. 82 E/ AGRAMONTE Y CAPDEVILA;2901;318;5335;02;1;667;14285;2;EMP;0
05923;UNION DE EMPRESAS DE RECUPERACION DE MATERIAS PRIMAS;-  -  -  -  -  -  -  -;AVE. 1ERA NO.1604 ESQ. 16 MIRAMAR;2301;102;5149;01;1;693;14387;0;U;0
05938;EMPRESA MUNICIPAL DE COMERCIO SANCTI SPIRITUS;-  -  -  -  -  -  -  -;INDEPENDENCIA NO.59 (NORTE) E/ CMDTE. M. FAJARDO Y FRANK PAIS;2807;317;5610;02;1;735;000013518;2;EMP;0
05958;EMPRESA COMERCIALIZADORA Y DE SERVICIOS DE PRODUCTOS UNIVERSALES DE GUANTANAMO;-  -  -  -  -  -  -  -;CARRETERA DE JAMAICA KM. 3 1/2;3509;171;5190;02;1;903;13515;0;EMP;1
05973;EMPRESA MUNICIPAL DE COMERCIO MINORISTA DE PRODUCTOS ALIMENTICIOS E INDUSTRIALES PINAR DEL RIO;-  -  -  -  -  -  -  -;ANTONIO RUBIO NO. 25 E/ ORMANI ARENADO Y GERARDO MEDINA;2108;311;5335;02;1;736;000013526;1;EMP;1
05974;EMPRESA MUNICIPAL DE COMERCIO MINORISTA Y GASTRONOMIA AMANCIO RODRIGUEZ;-  -  -  -  -  -  -  -;RUBEN BATISTA RUBIO NO. 33 NUEVO AMANCIO;3108;320;5311;02;1;659;14255;2;EMP;0
05977;EMPRESA PROVINCIAL DE RECREACION Y ALOJAMIENTO PARQUE BACONAO;-  -  -  -  -  -  -  -;CALLE 8 NO. 354 E/ 13 Y 15 VISTA ALEGRE;3406;323;5610;02;1;651;000014122;1;EMP;0
05978;EMPRESA ESPECIALIZADA IMPORTADORA, EXPORTADORA Y DISTRIBUIDORA PARA LA CIENCIA Y LA TECNICA;EMIDICT;CALLE 16 NO. 102 ESQUINA 1RA;2301;211;5190;37;1;712;000012714;0;EMP;1
05991;EMPRESA IMPORTADORA-EXPORTADORA DE ABASTECIMIENTOS TECNICOS-MININT;EMIAT;CALLE 20 NO. 519 ENTRE 5TA Y 7MA;2301;272;5190;37;1;999;000000272;0;EMP;0
05996;EMPRESA CUBANA EXPORTADORA E IMPORTADORA DE SERVICIOS, ARTICULOS Y PRODUCTOS TECNICOS ESPECIALIZADOS;TECNOTEX;EDIFICIO LA MARINA, AVENIDA DEL PUERTO, ENTRE JUSTIZ Y OBRAPIA;2304;271;5190;37;1;020;000060446;0;EMP;0
06007;EMPRESA DE RECUPERACION DE MATERIAS PRIMAS CIEGO DE AVILA;-  -  -  -  -  -  -  -;CALLE F S/N ENTRE 7 Y 14 REPARTO CANELETA;2908;102;5149;02;1;670;05923;0;EMP;1
06008;EMPRESA DE RECUPERACION DE MATERIAS PRIMAS ARTEMISA-MAYABEQUE;-  -  -  -  -  -  -  -;CALLE ZAPATA, NO.1558, E/ AVENIDA PASEO Y CALLE 2;2302;102;5149;02;1;670;05923;0;EMP;0
06012;EMPRESA DE RECUPERACION DE MATERIAS PRIMAS LAS TUNAS;-  -  -  -  -  -  -  -;ZONA INDUSTRIAL, CAMINO DEL ORIENTE;3105;102;5149;02;1;670;05923;0;EMP;1
06013;EMPRESA DE RECUPERACION DE MATERIAS PRIMAS GRANMA;-  -  -  -  -  -  -  -;"CALLE 1RA, NO. 113, REPARTO ""26 DE JULIO""";3304;102;5149;02;1;670;05923;0;EMP;1
06018;EMPRESA MILITAR DE ABASTECIMIENTO No. 1;-  -  -  -  -  -  -  -;;2310;271;5190;02;1;999;000000271;0;EMP;0
06022;EMPRESA PROVINCIAL DE ABASTECIMIENTO Y SERVICIOS A LA EDUCACION CIENFUEGOS;-  -  -  -  -  -  -  -;AVE. 62 NO. 3710 E/ 37 Y 39;2707;316;5190;02;1;999;00430;1;EMP;0
06025;UNION DE ACOPIO;UNION DE ACOPIO;CALLE CONILL, ESQUINA AVENIDA INDEPENDENCIA, EDIFICIO MINAG;2302;131;5190;01;1;669;000000131;0;U;0
06027;EMPRESA PROVINCIAL DE ABASTECIMIENTO Y SERVICIOS A LA EDUCACION SANCTI SPIRITUS;-  -  -  -  -  -  -  -;MARTI NO.9 E/ HERNANDEZ LABORI Y AVE. DE LOS MARTIRES.;2807;221;5190;02;1;999;000000221;0;EMP;0
06028;EMPRESA PROVINCIAL DE ABASTECIMIENTO Y SERVICIOS A LA EDUCACION CIEGO DE AVILA;-  -  -  -  -  -  -  -;CARRETERA SANGUILY KM 2 1/2;2908;221;5190;02;1;999;000000221;0;EMP;0
06030;EMPRESA PROVINCIAL DE ABASTECIMIENTO Y SERVICIOS A LA EDUCACION LAS TUNAS;-  -  -  -  -  -  -  -;CARRETERA CENTRAL KM 692;3105;221;5190;02;1;999;000000221;0;EMP;0
06031;EMPRESA PROVINCIAL DE ABASTECIMIENTO Y SERVICIOS A LA EDUCACION GRANMA;-  -  -  -  -  -  -  -;CALLE 1RA S/N CARRETERA CENTRAL VIA SANTIAGO KM 3;3304;322;5150;02;1;999;00530;1;EMP;0
06032;EMPRESA PROVINCIAL DE ABASTECIMIENTO Y SERVICIOS A LA EDUCACION CAMAGUEY;-  -  -  -  -  -  -  -;1RA E/ CARRETERA CENTRAL Y PALOMINO;3008;319;5190;02;1;999;00470;1;EMP;0
06034;EMPRESA PROVINCIAL DE ABASTECIMIENTO Y SERVICIOS A LA EDUCACION MATANZAS;-  -  -  -  -  -  -  -;CALLE 83 NO.29218 A ENTRE 292 Y 294;2501;221;5190;02;1;999;000000221;0;EMP;0
06035;EMPRESA MUNICIPAL COMERCIAL MIXTA YATERAS;-  -  -  -  -  -  -  -;PALENQUE;3503;324;5335;02;1;657;14248;2;EMP;0
06036;EMPRESA PROVINCIAL DE ABASTECIMIENTO Y SERVICIOS A LA EDUCACION PINAR DEL RIO;-  -  -  -  -  -  -  -;CALLE E S/N, ESQUINA A C, REPARTO 10 DE OCTUBRE;2108;311;5190;02;1;999;00310;1;EMP;0
06040;EMPRESA CENTRAL DE EQUIPOS HIDRAULICOS;CUBAHIDRAULICA;CARRETERA VIEJA DE GUANABACOA Y LINEA DEL FERROCARRIL;2307;113;5150;02;1;013;00113;0;EMP;1
06047;EMPRESA COMERCIALIZADORA DE SERVICIOS TECNICOS Y TECNOLOGICOS;TECNOSIME;AVENIDA INDEPENDENCIA NO. 774 ENTRE TULIPAN Y CONILL;2302;102;7120;37;1;693;14387;0;EMP;0
06050;"CADENA DE TIENDAS ""TRD CARIBE""";TRD CARIBE;EDIFICIO LA PUNTILLA, CALLE TERCERA Y FINAL, MIRAMAR;2301;271;5335;02;1;020;000060446;0;EMP;0
06052;EMPRESA PROVINCIAL DE TRANSPORTE DE HOLGUIN;-  -  -  -  -  -  -  -;CALLE FOMENTO NO. 173 E/ GARAYALDE Y AGRAMONTE;3206;321;6021;02;1;999;;1;EMP;0
06072;EMPRESA PROVINCIAL DE TRANSPORTE DE MATANZAS;-  -  -  -  -  -  -  -;GENERAL BETANCOURT NO. 21804 E/ 218 Y 220. PLAYA.;2501;314;6021;02;1;999;000000314;1;EMP;0
06086;EMPRESA DE TRANSPORTE ESCOLAR MATANZAS;-  -  -  -  -  -  -  -;CALLE 17 NO. 6019 E/ 60 Y 62;2511;151;6022;02;1;607;13991;0;EMP;1
06089;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE CAYO COCO;-  -  -  -  -  -  -  -;ROTONDA LOS ALMACIGOS;2902;113;4230;02;1;899;000012590;0;EMP;1
06103;EMPRESA PROVINCIAL INTEGRAL DE TRANSPORTE DE GRANMA;-  -  -  -  -  -  -  -;PARADO NO 8 E/ MARTI Y MARMOL;3304;322;6021;02;1;999;000000322;1;EMP;0
06126;OFICINA NACIONAL DE ESTADISTICA E INFORMACION;ONEI;PASEO NO. 60 E/ 3RA. Y 5TA., VEDADO;2302;305;7511;05;2;999;;0;UP;0
06127;OFICINA NACIONAL DE NORMALIZACION;ONN;CALLE E NO. 261 E/ 11 Y 13;2302;211;7511;07;2;999;000000211;0;UP;0
06146;GRUPO EMPRESARIAL DE INFORMATICA Y COMUNICACIONES DEL TRANSPORTE;AIPCSA;CALLE 5TA ESQ. 2, VEDADO;2302;151;7214;06;1;857;000000151;0;GRUP;1
06147;EMPRESA DE SERVICIOS INFORMATICOS, CONSULTORIAS Y SISTEMAS;SICS;NEPTUNO NO. 502 ESQ. CAMPANARIO;2303;151;7010;02;1;857;000006146;0;EMP;1
06148;EMPRESA DE COMUNICACIONES Y ELECTRONICA;GCOM;MARINO ESQ. A TALLERES, NUEVO VEDADO;2302;151;6420;02;1;857;000006146;0;EMP;1
06150;EMPRESA PUBLICITARIA;PUBLICENTRO;INFANTA NO. 1106, E/ SANTO TOMAS Y BENJUMEDA;2303;151;7230;02;1;857;000006146;0;EMP;1
06151;EMPRESA DE SERVICIOS DE INFORMACION PARA EL TRANSPORTE;SITRANS;NEPTUNO NO. 358 E/ GALIANO Y SAN NICOLAS;2303;151;9431;02;1;857;000006146;0;EMP;1
06152;EMPRESA DE IMPRESIONES DIRECTAS Y OFFSET;GIDO;SAN INDALECIO NO. 162, E/ TAMARINDO Y VIA BLANCA;2309;151;2421;02;1;857;000006146;0;EMP;1
06156;EMPRESA COMERCIAL PARA LOS PRODUCTOS DE COMPUTACION, BIOTECNOLOGIA Y MEDICINA;COMBIOMED;CALLE 202 NO. 1704 E/ 17 Y 19, SIBONEY;2301;692;5132;37;1;692;14385;0;EMP;0
06176;OFICINA NACIONAL DE ADMINISTRACION TRIBUTARIA;ONAT;CALLE OBISPO NO. 211, ESQ. A CUBA;2304;254;7511;05;2;999;;0;UP;0
06195;EMPRESA DE TRANSPORTE DE CEREALES DE LA HABANA;TRANSCER HABANA;CALLE 4TA. Y MASSIP. RPTO. BELLA VISTA;2307;131;6023;02;1;665;000003836;0;EMP;0
06199;EMPRESA OPERADORA DE CONTENEDORES;TRANSCONTENEDORES, ENOC;EDIFICIO PUERTO HABANA, FABRICA NO. 54 ENTRE AUSPURU Y LINEA DEL FERROCARRIL, 3ER PISO.;2304;151;6023;02;1;615;13992;0;EMP;1
06200;UNIDAD NACIONAL DE TRANSPORTE;-  -  -  -  -  -  -  -;ARANGUREN NO. 604 ESQ. A MASO;2310;501;6022;05;2;999;;0;UP;0
06206;INSTITUTO CUBANO DEL ARTE E INDUSTRIA CINEMATOGRAFICOS ICAIC;-  -  -  -  -  -  -  -;CALLE 23 NO.1155 E/. 10 Y 12;2302;234;9411;07;4;999;000000234;0;OEE;0
06207;INSTITUTO CUBANO DEL LIBRO;-  -  -  -  -  -  -  -;CALLE OBISPO NO. 302, ESQUINA AGUIAR;2304;234;2411;03;4;999;00234;0;OEE;0
06210;EDITORA POLITICA;-  -  -  -  -  -  -  -;BELASCOAIN NO. 864 E/ DESAGUE Y PENALVER;2303;501;2411;05;2;999;;0;UP;0
06211;EMPRESA DE RECUPERACION DE MATERIAS PRIMAS DE LA HABANA;-  -  -  -  -  -  -  -;AVE.INDEPENDENCIA (BOYEROS) KM 3 1/2 (INT), RPTO EL GUAYABAL;2310;102;5149;02;1;670;05923;0;EMP;0
06213;EMPRESA DE INFORMATICA AUTOMATICA Y COMUNICACIONES, TECNOMATICA;-  -  -  -  -  -  -  -;AVENIDA SALVADOR ALLENDE, NO. 666, ENTRE OQUENDO Y SOLEDAD;2303;104;7010;02;1;614;02605;0;EMP;1
06223;EMPRESA DE PROYECTOS, CONSTRUCCIONES Y SERVICIOS NAVALES, CEPRONA;-  -  -  -  -  -  -  -;CALLE 26 S/N ENTRE 11 Y 13;2302;111;7120;02;1;624;14097;0;EMP;1
06226;EMPRESA DE INFORMATICA Y AUTOMATIZACION PARA LA CONSTRUCCION, aicros;-  -  -  -  -  -  -  -;CALLE 45 S/N E/ 26 Y ULLOA, NUEVO VEDADO;2302;126;7010;02;1;880;000012191;0;EMP;1
06228;"EMPRESA DE SISTEMAS AUTOMATIZADOS ""ALIMATIC""";-  -  -  -  -  -  -  -;AVE. 41 NO. 2215 E/ 22 Y 24, RPTO LA SIERRA;2301;111;7030;02;1;624;14097;0;EMP;1
06230;EDITORIAL PUEBLO Y EDUCACION;-  -  -  -  -  -  -  -;AVE. 3RA. A NO. 4601 E/ 46 Y 60, MIRAMAR;2301;221;2411;02;1;999;;0;EMP;1
06239;EMPRESA DE PROYECTOS PARA INDUSTRIAS VARIAS, EPROYIV;-  -  -  -  -  -  -  -;CALLE 9NA NO. 614 E/ 41 Y 6, MIRAMAR;2301;126;7120;02;1;880;000012191;0;EMP;1
06240;EMPRESA DE PROYECTOS DE ARQUITECTURA E INGENIERIA DE LA HABANA, EPROB;-  -  -  -  -  -  -  -;CALLE GOSS NO. 677 E/ AMADO Y ARANGUREN, VIBORA PARK;2309;126;7120;02;1;880;000012191;0;EMP;3
06242;AGENCIA DE INFORMACION NACIONAL;AIN;CALLE 23 NO. 358 ESQ. A J;2302;501;9417;05;2;999;;0;UP;0
06250;REVISTA BOHEMIA;-  -  -  -  -  -  -  -;INDEPENDENCIA S/N ESQ. A SAN PEDRO;2302;501;2412;05;2;999;;0;UP;0
06266;CENTRO DE DISENO DE SISTEMAS;-  -  -  -  -  -  -  -;;2303;171;7010;05;2;999;;0;UP;0
06285;EMPRESA DE INGENIERIA Y SERVICIOS TECNICOS AZUCAREROS;TECNOAZUCAR;CALLE 23 NO. 171 ENTRE N Y O;2302;658;5190;37;1;658;14249;0;EMP;1
06294;REVISTA OPINA Y OTRAS PUBLICACIONES;-  -  -  -  -  -  -  -;;2302;171;2412;05;2;999;;0;UP;0
06295;PRODUCCIONES EXPERIMENTALES;-  -  -  -  -  -  -  -;;2303;171;3990;05;2;999;;0;UP;0
06301;EMPRESA DE SERVICIOS VARIOS DEL MINAL, EMSERVA;-  -  -  -  -  -  -  -;CALLE HACENDADOS NO. 16 (PLANTA ALTA) ENTRE AVENIDA DEL PUERTO Y LINEA DEL FERROCARRIL;2304;111;5311;02;1;624;14097;0;EMP;1
06391;EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE PINAR DEL RIO;-  -  -  -  -  -  -  -;KM. 2 1/2 CARRETERA LUIS LAZO S/N E/ VILLA PRIMA Y PASAJE FINAL;2108;113;4230;02;1;899;000012590;0;EMP;1
06406;DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE PINAR DEL RIO;-  -  -  -  -  -  -  -;MARTI NO. 10 E/ GERARDO MEDINA Y ORMANI ARENADO;2108;311;9600;05;2;999;000000322;2;UP;0
06407;DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE CONSOLACION DEL SUR;-  -  -  -  -  -  -  -;CALLE 70 FINAL, FINCA EL HATO;2107;311;9600;05;2;999;000000321;2;UP;0
06413;UNIDAD PRESUPUESTADA SERVICIOS NECROLOGICOS DE LA HABANA;-  -  -  -  -  -  -  -;5TA NO. 611 E/ 4 Y 6;2302;313;9903;05;2;999;;1;UP;0
06414;AREAS VERDES DE LA HABANA;-  -  -  -  -  -  -  -;AVENIDA DE LA CEIBA Y PRIMELLES;2310;313;9600;05;2;999;00360;1;UP;0
06415;UNIDAD PRESUPUESTADA PROVINCIAL DE RECOGIDA Y DISPOSICION FINAL DE LA BASURA DE LA HABANA;-  -  -  -  -  -  -  -;100 Y LINEA DEL FERROCARRIL;2311;313;9600;05;2;999;00360;1;UP;0
06417;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE CENTRO HABANA;-  -  -  -  -  -  -  -;FIGURAS NO. 209 E/ MONTE Y TENERIFE;2303;313;7330;05;2;999;000000363;2;UP;0
06418;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE PLAYA;-  -  -  -  -  -  -  -;24 NO. 4302 ESQ. 26;2301;313;7330;05;2;999;000000361;2;UP;0
06419;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE LA HABANA VIEJA;-  -  -  -  -  -  -  -;CALLE AGUIAR NO. 251 E/ EMPEDRADO Y O'REILLY;2304;313;7330;05;2;999;000000364;2;UP;0
06420;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE PLAZA DE LA REVOLUCION;-  -  -  -  -  -  -  -;15 ESQ. A VEDADO;2302;313;7330;05;2;999;000000362;2;UP;0
06421;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE CERRO;-  -  -  -  -  -  -  -;CEPERO NO. 201 ESQ. SANTO TOMAS;2310;313;7330;05;2;999;000000371;2;UP;0
06422;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE DIEZ DE OCTUBRE;-  -  -  -  -  -  -  -;PATROCINIO ESQ. PARQUE;2309;313;7330;05;2;999;00369;2;UP;0
06423;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE BOYEROS;-  -  -  -  -  -  -  -;15 NO. 19208 ESQ. 8, SANTIAGO DE LAS VEGAS;2313;313;7330;05;2;999;000000374;2;UP;0
06424;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE LA HABANA DEL ESTE;-  -  -  -  -  -  -  -;EDIFICIO 38 CUIDAD CAMILO CIENFUEGOS;2306;313;7330;05;2;999;000000366;2;UP;0
06425;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE PLAYA;-  -  -  -  -  -  -  -;7MA NO. 3603 E/ 36 Y 36-A;2301;313;9600;05;2;999;000000361;2;UP;0
06426;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE PLAZA DE LA REVOLUCION;-  -  -  -  -  -  -  -;33 NO. 3 E/ PASEO Y A;2302;313;9600;05;2;999;000000362;2;UP;0
06427;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE CENTRO HABANA;-  -  -  -  -  -  -  -;VALLE NO. 64 E/ ESPADA Y SAN FRANCISCO;2303;313;9600;05;2;999;000000363;2;UP;0
06428;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE LA HABANA VIEJA;-  -  -  -  -  -  -  -;AGUIAR NO. 363 ESQ. A OBRAPIA;2304;313;9600;05;2;999;000000364;2;UP;0
06430;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE LA HABANA DEL ESTE;-  -  -  -  -  -  -  -;7MA E/ 9NA Y 162 ZONA 10, ALAMAR;2306;313;9600;05;2;999;000000366;2;UP;0
06433;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE DIEZ DE OCTUBRE;-  -  -  -  -  -  -  -;ESTRADA PALMA # 265 E/ JUAN BRUNO ZAYAS Y CONSEJAL VEIGA;2309;313;9600;05;2;999;000000369;2;UP;0
06434;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE SERVICIOS COMUNALES DE CERRO;-  -  -  -  -  -  -  -;CONSEJERO ARANGO NO. 52 E/ CALZADA DEL CERRO Y TRINIDAD;2310;313;9600;05;2;999;000000371;2;UP;0
06437;UNIDAD PRESUPUESTADA DIRECCION MUNICIPAL DE VIVIENDA DE ARROYO NARANJO;-  -  -  -  -  -  -  -;LINCON E/ CALZADA DE BEJUCAL Y GOMEZ;2314;313;7330;05;2;999;000000375;2;UP;0
06439;UNIDAD PRESUPUESTADA MUNICIPAL SERVICIOS COMUNALES SANTA CLARA;-  -  -  -  -  -  -  -;SAN MIGUEL NO. 59 E/ JUAN BRUNO ZAYAS Y VILLUENDAS;2609;315;9600;07;2;999;00419;2;UP;0
06442;UNIDAD PRESUPUESTADA MUNICIPAL DE SERVICIOS COMUNALES CAMAGUEY;-  -  -  -  -  -  -  -;MARTI NO. 262 E/ LUGARENO Y SAN ANTONIO;3008;319;9600;05;2;999;000000478;2;UP;0
06443;UNIDAD PRESUPUESTADA MUNICIPAL DE SERVICIOS COMUNALES HOLGUIN;-  -  -  -  -  -  -  -;CALLE C.M. DE CESPEDES NO. 102 ESQ. CARRETERA DE MAYARI;3206;321;9600;05;2;999;000000516;2;UP;0
06444;UNIDAD PRESUPUESTADA DE SERVICIOS COMUNALES SANTIAGO DE CUBA;-  -  -  -  -  -  -  -;CORONA NO. 806 E/ SAN CARLOS Y SANTA RITA;3406;323;9600;05;2;999;000000556;2;UP;0
06447;EMPRESA MUNICIPAL DE SERVICIOS COMUNALES ISLA DE LA JUVENTUD;-  -  -  -  -  -  -  -;CALLE 39 NO. 3202 E/ CALLE 32 Y 34, NUEVA GERONA.;4001;325;9600;02;1;695;14389;2;EMP;0
06454;"EMPRESA DE ALOJAMIENTO ""VILLA SIBONEY""";-  -  -  -  -  -  -  -;CALLE 6TA NO. 22 ESQ. B RPTO. JULIO A. MELLA;3008;319;5510;02;1;999;;1;EMP;0
06458;EMPRESA PROVINCIAL DE ALOJAMIENTO SANTIAGO;EPAS;CALLE GRANMA ESQUINA D S/N, REPARTO 30 DE NOVIEMBRE;3406;323;5510;02;1;999;00550;1;EMP;0
06464;UNIDAD PRESUPUESTADA MUNICIPAL DE SERVICIOS COMUNALES MORON;-  -  -  -  -  -  -  -;CISNERO NO. 46 E/ NARCISO LOPEZ Y AVELLANEDA;2902;318;9600;05;2;999;000000452;2;UP;0
